Filename;ActivityName;Location;ReferenceProduct
284bd845-1f2b-52bb-a03f-67dc529a8583_df447983-7eff-40d8-b811-3db5d08d4587.spold;plastic tunnel construction;FR;plastic tunnel
ffff6878-41e3-56f7-a4dc-209abb32f04e_4d8591e3-c13b-4364-8fd9-c48c3996588a.spold;market for ammonium thiocyanate;GLO;ammonium thiocyanate
3ecd329b-976f-5e18-9787-307d34a58952_13a49b8f-8af9-411c-aeda-d3bed0dd5444.spold;treatment of sewage sludge, 97% water, WWT, WW from particle board production, landfarming;RER;sewage sludge, 97% water, WWT, WW from particle board production
1e18127b-d693-5695-99cb-c979726c1313_9d447e1a-a41a-43ac-b374-d0fc6dcb61df.spold;liquefied petroleum gas production, petroleum refinery operation;RoW;liquefied petroleum gas
4968c77b-ef9f-5633-a969-0f9709896656_044d1317-ada7-4837-bd5b-6924998b0797.spold;market for benzoic acid;RER;benzoic acid
05ba619b-bdce-54a8-bb23-f0f7f000df4b_c5adb1fb-872e-4446-a3bb-c4b61aa4bd45.spold;market for tap water;CO;tap water
fc48136f-de92-513a-9e06-3bb5902161c4_5f9b49ad-6aa8-42ee-8d55-af2982e9f0f8.spold;electricity production, wind, >3MW turbine, onshore, renewable energy products;CH;electricity, high voltage, renewable energy products
cd89b946-7168-50e0-8336-ff82c6584eae_b2011f87-e037-4f68-8dec-6d8e6de4ae25.spold;cement production, ZN/D, new alternative constituents 36-50%, in conformity with SIA 2049;CH;waste concrete gravel
b9908517-ccbb-5bb5-a2a8-d56c3970341b_acfc9f7e-a0d7-4120-af03-a1bf03311db0.spold;kraft paper production;RoW;tall oil, crude
9737114c-b2ca-59a9-8d3a-9a28ba79266c_441d0f72-4a9d-5162-ac29-4c36e6d8b352.spold;market for yttrium oxide;GLO;yttrium oxide
2f582b9d-910c-55d5-bdeb-cbdd12c449ef_23ff52d3-06a2-4d3a-8039-cfeb12f7cb9a.spold;sulfite pulp production, bleached;RER;sulfite pulp, bleached
f049c198-de82-56bc-857e-6e857c4422ca_2a905712-55e8-56dc-9f48-e5af3d2eaa2a.spold;market for bottom ash, MSWI, municipal solid waste;KR;bottom ash, MSWI, municipal solid waste
6d0024a8-d0fd-5710-8b24-cdd7653e2c52_af9fc27e-0952-4636-95ea-a36ea7f54475.spold;market for paper, woodcontaining, lightweight coated;RER;paper, woodcontaining, lightweight coated
3c305fd1-55f7-515b-b768-99ac56f5b3b3_9f46f9ca-7563-4008-ac3c-6d4815bdffe5.spold;treatment of bottom ash, MSWI-WWT, rainwater mineral oil storage, slag compartment;Europe without Switzerland;bottom ash, MSWI-WWT, rainwater mineral oil storage
